ExpressionStatement-3-0-0;" UPD ExpressionStatement 
--- UPD MethodInvocation 
------ UPD SimpleName"
ExpressionStatement-5-1-0;" INS ExpressionStatement TO TryStatement 
--- INS MethodInvocation TO ExpressionStatement 
------ INS SimpleName TO MethodInvocation 
------ INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO SimpleName"
ExpressionStatement-4-2-2;" UPD ExpressionStatement 
--- UPD MethodInvocation 
------ UPD SimpleName 
--------- UPD SimpleName"
FieldDeclaration-2-0-0;" UPD FieldDeclaration 
--- INS Modifier TO FieldDeclaration"
ExpressionStatement-4-2-1;" UPD ExpressionStatement 
--- UPD MethodInvocation 
------ UPD SimpleName 
--------- INS SimpleName TO SimpleName"
FieldDeclaration-6-0-0;" INS FieldDeclaration TO TypeDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS SimpleType TO FieldDeclaration 
--- INS VariableDeclarationFragment TO FieldDeclaration 
------ INS SimpleName TO VariableDeclarationFragment"
FieldDeclaration-8-0-0;" INS FieldDeclaration TO TypeDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS SimpleType TO FieldDeclaration 
--- INS VariableDeclarationFragment TO FieldDeclaration 
------ INS SimpleName TO VariableDeclarationFragment 
------ INS StringLiteral TO VariableDeclarationFragment"
ExpressionStatement-2-0-0;" DEL ExpressionStatement 
--- DEL MethodInvocation"
FieldDeclaration-5-0-0;" INS FieldDeclaration TO TypeDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS SimpleType TO FieldDeclaration 
--- INS VariableDeclarationFragment TO FieldDeclaration 
------ INS SimpleName TO VariableDeclarationFragment"
ExpressionStatement-2-0-1;" INS ExpressionStatement TO MethodDeclaration 
--- INS MethodInvocation TO ExpressionStatement"
ExpressionStatement-4-2-0;" INS ExpressionStatement TO SwitchStatement 
--- INS MethodInvocation TO ExpressionStatement 
------ INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO SimpleName"
VariableDeclarationStatement-2-2-0;" UPD VariableDeclarationStatement 
--- INS Modifier TO VariableDeclarationStatement"
MethodDeclaration-2-0-0;" UPD MethodDeclaration 
--- INS Modifier TO MethodDeclaration"
VariableDeclarationStatement-7-0-0;" INS VariableDeclarationStatement TO MethodDeclaration 
--- INS SimpleType TO VariableDeclarationStatement 
--- INS VariableDeclarationFragment TO VariableDeclarationStatement 
------ INS SimpleName TO VariableDeclarationFragment 
------ INS MethodInvocation TO VariableDeclarationFragment 
--------- INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO MethodInvocation"
VariableDeclarationStatement-4-1-0;" DEL VariableDeclarationStatement 
--- DEL SimpleType 
--- DEL VariableDeclarationFragment 
------ DEL SimpleName"
ExpressionStatement-5-1-2;" DEL ExpressionStatement 
--- DEL MethodInvocation 
------ DEL SimpleName 
------ DEL SimpleName 
--------- DEL SimpleName"
ReturnStatement-3-2-0;" UPD ReturnStatement 
--- UPD MethodInvocation 
------ UPD SimpleName"
