cluster,memberCount
VariableDeclarationStatement-7-0-1,7
FieldDeclaration-8-2-0,7
ReturnStatement-2-0-1,6
SwitchCase-4-0-0,6
ExpressionStatement-4-0-0,5
VariableDeclarationStatement-4-0-0,5
ReturnStatement-2-0-3,5
VariableDeclarationStatement-9-6-0,4
ThrowStatement-4-1-0,4
MethodDeclaration-2-1-0,3
IfStatement-4-1-0,3
ExpressionStatement-4-0-3,3
ReturnStatement-2-0-4,3
ReturnStatement-2-0-0,3
TypeDeclaration-5-0-0,3
TypeDeclaration-2-1-0,3
TypeDeclaration-4-1-0,3
FieldDeclaration-3-0-0,3
FieldDeclaration-2-0-0,3
VariableDeclarationStatement-7-0-2,3
VariableDeclarationStatement-7-0-3,3
EnhancedForStatement-12-0-1,2
ExpressionStatement-25-0-0,2
ExpressionStatement-5-0-0,2
ExpressionStatement-20-0-0,2
MethodDeclaration-54-0-0,2
MethodDeclaration-109-0-0,2
MethodDeclaration-68-0-0,2
MethodDeclaration-66-0-0,2
ForStatement-32-0-0,2
EnhancedForStatement-12-0-0,2
EnhancedForStatement-10-1-0,2
WhileStatement-14-0-0,2
WhileStatement-17-1-0,2
WhileStatement-16-0-0,2
ForStatement-29-0-0,2
IfStatement-12-7-0,2
IfStatement-55-0-0,2
IfStatement-38-0-0,2
IfStatement-20-1-0,2
IfStatement-161-0-0,2
ReturnStatement-4-5-1,2
VariableDeclarationStatement-5-7-4,2
VariableDeclarationStatement-6-3-0,2
FieldDeclaration-5-0-1,2
