cluster,memberCount
ReturnStatement-2-0,17
VariableDeclarationStatement-5-3,15
VariableDeclarationStatement-7-0,13
VariableDeclarationStatement-5-4,12
VariableDeclarationStatement-7-1,12
ExpressionStatement-4-0,10
ReturnStatement-2-1,9
FieldDeclaration-8-2,8
FieldDeclaration-6-2,8
VariableDeclarationStatement-9-10,7
SwitchCase-4-0,7
VariableDeclarationStatement-3-0,6
VariableDeclarationStatement-2-2,6
VariableDeclarationStatement-4-0,6
VariableDeclarationStatement-4-3,5
ExpressionStatement-5-8,5
VariableDeclarationStatement-6-19,5
ReturnStatement-3-0,5
VariableDeclarationStatement-2-1,5
ExpressionStatement-5-6,5
VariableDeclarationStatement-5-7,5
ThrowStatement-4-1,5
ExpressionStatement-5-15,5
ExpressionStatement-5-12,4
ReturnStatement-4-2,4
TypeDeclaration-2-1,4
FieldDeclaration-5-1,4
TypeDeclaration-4-1,4
FieldDeclaration-2-0,4
VariableDeclarationStatement-9-4,4
VariableDeclarationStatement-8-31,4
IfStatement-10-16,4
IfStatement-5-1,4
VariableDeclarationStatement-6-3,4
MethodDeclaration-2-0,4
VariableDeclarationStatement-9-6,4
EnhancedForStatement-12-0,4
TypeDeclaration-5-0,3
IfStatement-14-5,3
ExpressionStatement-7-48,3
IfStatement-3-1,3
IfStatement-4-4,3
IfStatement-9-3,3
MethodDeclaration-2-1,3
ExpressionStatement-7-1,3
ExpressionStatement-4-1,3
IfStatement-4-1,3
ExpressionStatement-4-5,3
VariableDeclarationStatement-7-10,3
ExpressionStatement-5-3,3
FieldDeclaration-4-1,3
VariableDeclarationStatement-5-2,3
VariableDeclarationStatement-7-3,3
VariableDeclarationStatement-5-1,3
FieldDeclaration-5-0,3
VariableDeclarationStatement-7-2,3
FieldDeclaration-3-0,3
VariableDeclarationStatement-3-3,3
MethodDeclaration-6-2,2
MethodDeclaration-109-0,2
ExpressionStatement-2-0,2
MethodDeclaration-54-0,2
MethodDeclaration-16-1,2
MethodDeclaration-3-3,2
FieldDeclaration-6-8,2
MethodDeclaration-2-4,2
ExpressionStatement-20-0,2
MethodDeclaration-4-4,2
MethodDeclaration-66-0,2
MethodDeclaration-68-0,2
ExpressionStatement-20-1,2
ConstructorInvocation-2-1,2
ConstructorInvocation-2-0,2
FieldDeclaration-2-1,2
EnhancedForStatement-10-1,2
WhileStatement-14-0,2
WhileStatement-17-1,2
WhileStatement-16-0,2
ForStatement-29-0,2
FieldDeclaration-11-12,2
ExpressionStatement-9-13,2
ExpressionStatement-9-28,2
ExpressionStatement-9-63,2
ExpressionStatement-12-5,2
ExpressionStatement-5-0,2
ExpressionStatement-3-1,2
ExpressionStatement-4-2,2
ExpressionStatement-4-3,2
ExpressionStatement-5-7,2
ExpressionStatement-4-15,2
ExpressionStatement-5-10,2
ExpressionStatement-25-0,2
ExpressionStatement-4-7,2
TryStatement-7-1,2
ExpressionStatement-4-18,2
ExpressionStatement-10-7,2
ExpressionStatement-6-12,2
ExpressionStatement-6-17,2
TryStatement-25-2,2
ExpressionStatement-7-98,2
ExpressionStatement-7-38,2
FieldDeclaration-11-11,2
ExpressionStatement-7-75,2
FieldDeclaration-11-8,2
ExpressionStatement-7-50,2
ExpressionStatement-7-59,2
ExpressionStatement-11-42,2
ExpressionStatement-5-58,2
ForStatement-32-0,2
VariableDeclarationStatement-9-11,2
IfStatement-14-12,2
IfStatement-14-21,2
VariableDeclarationStatement-13-8,2
VariableDeclarationStatement-5-27,2
VariableDeclarationStatement-5-0,2
VariableDeclarationStatement-5-17,2
VariableDeclarationStatement-5-5,2
VariableDeclarationStatement-14-10,2
SwitchCase-2-2,2
TypeDeclaration-3-2,2
ReturnStatement-11-0,2
ReturnStatement-6-14,2
ReturnStatement-4-4,2
ReturnStatement-4-3,2
ReturnStatement-4-5,2
ReturnStatement-2-3,2
ReturnStatement-13-1,2
VariableDeclarationStatement-13-10,2
VariableDeclarationStatement-12-4,2
VariableDeclarationStatement-3-14,2
VariableDeclarationStatement-6-1,2
VariableDeclarationStatement-9-14,2
VariableDeclarationStatement-11-10,2
VariableDeclarationStatement-11-25,2
VariableDeclarationStatement-7-20,2
VariableDeclarationStatement-7-42,2
VariableDeclarationStatement-16-0,2
VariableDeclarationStatement-10-21,2
VariableDeclarationStatement-3-7,2
VariableDeclarationStatement-10-13,2
VariableDeclarationStatement-10-22,2
VariableDeclarationStatement-8-52,2
VariableDeclarationStatement-4-1,2
VariableDeclarationStatement-4-4,2
VariableDeclarationStatement-4-5,2
ReturnStatement-5-13,2
IfStatement-161-0,2
IfStatement-20-1,2
IfStatement-15-10,2
IfStatement-8-18,2
IfStatement-8-27,2
IfStatement-38-0,2
IfStatement-55-0,2
IfStatement-24-1,2
IfStatement-15-9,2
IfStatement-15-4,2
IfStatement-19-3,2
IfStatement-12-18,2
IfStatement-12-7,2
IfStatement-12-8,2
IfStatement-13-17,2
IfStatement-5-10,2
IfStatement-14-6,2
IfStatement-19-2,2
IfStatement-10-5,2
IfStatement-18-7,2
IfStatement-11-13,2
IfStatement-18-8,2
IfStatement-18-4,2
IfStatement-9-6,2
IfStatement-9-21,2
IfStatement-11-9,2
IfStatement-11-7,2
IfStatement-7-18,2
IfStatement-10-23,2
IfStatement-7-9,2
IfStatement-7-28,2
IfStatement-6-48,2
IfStatement-17-2,2
IfStatement-10-33,2
IfStatement-10-42,2
IfStatement-37-2,2
