cluster,memberCount
TypeDeclaration-2-1-0-0,3
VariableDeclarationStatement-9-6-0-0,2
ExpressionStatement-20-0-0-0,2
EnhancedForStatement-10-1-0-0,2
EnhancedForStatement-12-0-0-0,2
MethodDeclaration-66-0-0-0,2
MethodDeclaration-68-0-0-0,2
MethodDeclaration-109-0-0-0,2
MethodDeclaration-54-0-0-0,2
ExpressionStatement-20-0-0-1,2
WhileStatement-17-1-0-0,2
ExpressionStatement-4-0-3-12,2
ExpressionStatement-25-0-0-0,2
ThrowStatement-4-1-0-1,2
FieldDeclaration-8-2-0-1,2
FieldDeclaration-8-2-0-2,2
WhileStatement-14-0-0-0,2
WhileStatement-16-0-0-0,2
VariableDeclarationStatement-9-6-0-1,2
ForStatement-29-0-0-0,2
ForStatement-32-0-0-0,2
IfStatement-12-7-0-0,2
IfStatement-55-0-0-0,2
IfStatement-38-0-0-0,2
IfStatement-20-1-0-0,2
IfStatement-161-0-0-0,2
ReturnStatement-2-0-4-5,2
TypeDeclaration-5-0-0-0,2
VariableDeclarationStatement-5-7-4-0,2
VariableDeclarationStatement-4-0-0-4,2
VariableDeclarationStatement-9-6-0-2,2
VariableDeclarationStatement-9-6-0-3,2
FieldDeclaration-2-0-0-1,2
