cluster,memberCount
SwitchCase-4-0,26
ReturnStatement-10-0,12
IfStatement-6-15,10
ExpressionStatement-5-7,10
ReturnStatement-4-0,10
ExpressionStatement-4-2,10
ExpressionStatement-6-31,9
VariableDeclarationStatement-8-12,9
VariableDeclarationStatement-7-0,8
ReturnStatement-2-2,7
VariableDeclarationStatement-5-4,6
ThrowStatement-4-1,5
VariableDeclarationStatement-4-0,5
ExpressionStatement-9-14,5
VariableDeclarationStatement-7-4,5
ExpressionStatement-4-3,5
VariableDeclarationStatement-5-7,5
VariableDeclarationStatement-5-42,4
IfStatement-3-1,4
ExpressionStatement-12-12,4
ExpressionStatement-9-47,4
FieldDeclaration-6-0,4
ExpressionStatement-5-3,4
VariableDeclarationStatement-8-21,4
ExpressionStatement-5-65,4
ReturnStatement-2-0,3
ExpressionStatement-3-1,3
ExpressionStatement-4-4,3
FieldDeclaration-2-1,3
IfStatement-9-16,3
ExpressionStatement-4-1,3
ExpressionStatement-4-9,3
ExpressionStatement-10-17,3
IfStatement-4-8,3
IfStatement-4-5,3
IfStatement-12-11,3
IfStatement-5-1,3
ReturnStatement-4-6,3
ReturnStatement-6-17,3
ReturnStatement-10-1,3
VariableDeclarationStatement-5-0,3
VariableDeclarationStatement-10-20,3
VariableDeclarationStatement-10-0,3
VariableDeclarationStatement-10-12,3
VariableDeclarationStatement-2-3,3
EnhancedForStatement-12-1,3
VariableDeclarationStatement-14-1,3
ExpressionStatement-2-1,3
ExpressionStatement-2-0,3
ExpressionStatement-4-23,2
ExpressionStatement-9-6,2
FieldDeclaration-2-0,2
MethodDeclaration-17-4,2
MethodDeclaration-4-1,2
MethodDeclaration-3-3,2
FieldDeclaration-3-3,2
FieldDeclaration-8-1,2
FieldDeclaration-6-1,2
ThrowStatement-5-0,2
ExpressionStatement-9-49,2
ExpressionStatement-9-3,2
ExpressionStatement-5-20,2
ExpressionStatement-25-0,2
ExpressionStatement-5-12,2
ExpressionStatement-7-1,2
ForStatement-17-0,2
ExpressionStatement-6-2,2
ExpressionStatement-5-1,2
ExpressionStatement-5-50,2
ExpressionStatement-7-3,2
VariableDeclarationStatement-9-34,2
ForStatement-35-0,2
ReturnStatement-4-5,2
ReturnStatement-7-17,2
SwitchCase-2-3,2
VariableDeclarationStatement-5-2,2
VariableDeclarationStatement-5-6,2
VariableDeclarationStatement-13-12,2
VariableDeclarationStatement-12-3,2
VariableDeclarationStatement-8-13,2
VariableDeclarationStatement-8-4,2
VariableDeclarationStatement-6-62,2
VariableDeclarationStatement-6-1,2
VariableDeclarationStatement-6-56,2
VariableDeclarationStatement-7-41,2
VariableDeclarationStatement-7-17,2
VariableDeclarationStatement-7-27,2
VariableDeclarationStatement-7-56,2
VariableDeclarationStatement-9-3,2
VariableDeclarationStatement-9-64,2
ReturnStatement-7-19,2
ReturnStatement-3-2,2
IfStatement-14-14,2
ReturnStatement-12-3,2
IfStatement-5-6,2
IfStatement-2-1,2
IfStatement-12-36,2
IfStatement-54-0,2
IfStatement-26-0,2
IfStatement-19-1,2
IfStatement-10-13,2
VariableDeclarationStatement-9-52,2
IfStatement-10-1,2
IfStatement-10-50,2
IfStatement-6-21,2
IfStatement-6-6,2
IfStatement-6-16,2
IfStatement-7-44,2
IfStatement-11-13,2
IfStatement-33-0,2
ReturnStatement-2-1,2
IfStatement-10-4,2
