cluster,memberCount
ExpressionStatement-3-0-0,539
ExpressionStatement-4-0-0,215
VariableDeclarationStatement-3-0-0,191
ExpressionStatement-4-0-1,185
FieldDeclaration-2-0-0,185
FieldDeclaration-6-1-0,182
FieldDeclaration-8-1-0,158
ExpressionStatement-2-0-0,148
FieldDeclaration-5-0-0,137
ExpressionStatement-2-0-1,134
VariableDeclarationStatement-4-0-0,130
ExpressionStatement-4-0-2,120
VariableDeclarationStatement-5-1-0,114
VariableDeclarationStatement-2-0-0,109
MethodDeclaration-2-0-1,106
VariableDeclarationStatement-7-1-0,105
FieldDeclaration-3-2-0,99
ReturnStatement-3-0-0,85
ExpressionStatement-2-0-2,77
SwitchCase-2-0-1,70
IfStatement-6-1-0,70
MethodDeclaration-2-0-0,66
ReturnStatement-2-0-1,62
TypeDeclaration-5-0-0,61
ReturnStatement-2-0-4,61
FieldDeclaration-5-0-1,60
FieldDeclaration-2-0-1,60
MethodDeclaration-6-1-0,60
ExpressionStatement-5-8-0,57
ReturnStatement-2-0-3,56
ExpressionStatement-6-2-0,55
CatchClause-3-0-0,54
ExpressionStatement-7-7-0,54
MethodDeclaration-14-0-0,53
ExpressionStatement-2-0-3,52
FieldDeclaration-11-0-0,48
ReturnStatement-2-0-2,45
VariableDeclarationStatement-7-1-3,45
TypeDeclaration-2-1-0,44
VariableDeclarationStatement-7-1-1,42
ReturnStatement-4-0-0,42
ThrowStatement-4-0-0,41
MethodDeclaration-2-0-2,36
ThrowStatement-3-1-0,30
VariableDeclarationStatement-11-0-0,30
VariableDeclarationStatement-5-1-2,30
MethodDeclaration-4-1-0,29
FieldDeclaration-9-0-0,28
ReturnStatement-4-0-1,28
VariableDeclarationStatement-7-1-4,28
TypeDeclaration-4-0-0,28
FieldDeclaration-7-0-0,27
SwitchCase-4-0-0,27
VariableDeclarationStatement-7-1-5,27
SwitchCase-2-0-0,26
TypeDeclaration-2-1-1,26
MethodDeclaration-3-0-0,26
TypeDeclaration-4-0-1,26
ExpressionStatement-4-0-3,25
FieldDeclaration-2-0-2,24
FieldDeclaration-6-1-1,22
ExpressionStatement-4-0-4,21
VariableDeclarationStatement-5-1-1,21
ReturnStatement-3-0-1,21
ReturnStatement-2-0-0,21
VariableDeclarationStatement-7-1-2,20
VariableDeclarationStatement-2-0-1,20
FieldDeclaration-8-1-1,19
ExpressionStatement-5-8-1,19
ExpressionStatement-2-0-4,19
MethodDeclaration-11-0-0,18
ReturnStatement-2-0-6,18
ExpressionStatement-7-7-1,18
IfStatement-10-0-0,17
ReturnStatement-5-3-0,17
TypeDeclaration-3-0-0,17
ExpressionStatement-10-4-0,16
VariableDeclarationStatement-5-1-5,16
MethodDeclaration-13-2-0,16
ExpressionStatement-9-4-0,16
ExpressionStatement-3-0-1,15
SwitchCase-2-0-2,15
ExpressionStatement-2-0-6,15
VariableDeclarationStatement-5-1-3,14
ReturnStatement-2-0-7,14
ExpressionStatement-2-0-10,14
ExpressionStatement-6-2-1,14
MethodDeclaration-8-0-0,14
TypeDeclaration-2-1-2,14
FieldDeclaration-4-0-0,14
VariableDeclarationStatement-11-0-1,14
FieldDeclaration-4-0-1,13
IfStatement-12-2-0,13
MethodDeclaration-8-0-1,13
ExpressionStatement-2-0-7,13
VariableDeclarationStatement-7-1-6,13
TryStatement-7-0-0,13
ExpressionStatement-2-0-9,13
IfStatement-8-1-0,12
EnhancedForStatement-2-0-0,12
VariableDeclarationStatement-7-1-8,12
TryStatement-46-0-0,11
ThrowStatement-2-0-0,11
ThrowStatement-5-2-1,11
VariableDeclarationStatement-8-9-0,11
SynchronizedStatement-4-0-0,11
VariableDeclarationStatement-9-0-0,11
TryStatement-2-1-0,10
VariableDeclarationStatement-13-0-0,10
ReturnStatement-8-1-0,10
TypeDeclaration-5-0-1,10
IfStatement-10-0-2,9
MethodDeclaration-17-0-0,9
IfStatement-4-3-0,9
EnhancedForStatement-5-0-0,9
ReturnStatement-2-0-5,9
FieldDeclaration-12-2-0,8
ExpressionStatement-4-0-6,8
VariableDeclarationStatement-10-12-0,8
IfStatement-13-5-0,8
ExpressionStatement-17-0-0,8
ThrowStatement-6-1-0,8
ExpressionStatement-2-0-5,8
ThrowStatement-2-0-1,8
FieldDeclaration-13-2-0,8
MethodDeclaration-4-1-1,8
MethodDeclaration-10-0-0,7
CatchClause-4-0-0,7
VariableDeclarationStatement-4-0-1,7
ReturnStatement-4-0-2,7
IfStatement-2-3-0,7
IfStatement-10-0-1,7
CatchClause-6-1-0,6
CatchClause-11-0-0,6
ReturnStatement-9-1-0,6
MethodDeclaration-53-0-0,6
MethodDeclaration-6-1-1,6
TryStatement-21-0-0,6
VariableDeclarationStatement-11-0-2,6
ThrowStatement-5-2-0,6
MethodDeclaration-23-0-0,6
TryStatement-5-0-0,6
EnhancedForStatement-7-0-0,6
SwitchCase-3-0-0,6
EnhancedForStatement-6-1-0,6
AssertStatement-2-0-0,5
FieldDeclaration-11-0-1,5
ExpressionStatement-2-0-11,5
VariableDeclarationStatement-7-1-9,5
CatchClause-13-1-0,5
FieldDeclaration-9-0-1,5
MethodDeclaration-27-0-0,5
VariableDeclarationStatement-7-1-7,5
ExpressionStatement-8-63-0,5
FieldDeclaration-5-0-2,5
MethodDeclaration-7-4-0,5
IfStatement-14-0-0,5
CatchClause-4-0-1,5
EnhancedForStatement-2-0-1,5
VariableDeclarationStatement-6-4-0,5
ThrowStatement-5-2-2,5
ReturnStatement-12-2-0,5
ExpressionStatement-2-0-8,5
ExpressionStatement-4-0-5,5
TryStatement-10-0-0,5
FieldDeclaration-5-0-3,5
ThrowStatement-2-0-2,5
FieldDeclaration-19-0-0,5
VariableDeclarationStatement-15-0-0,5
ExpressionStatement-13-1-0,5
VariableDeclarationStatement-3-0-1,5
TryStatement-28-0-0,4
IfStatement-5-4-0,4
IfStatement-3-7-0,4
ForStatement-27-0-0,4
MethodDeclaration-32-0-0,4
FieldDeclaration-9-0-2,4
TryStatement-4-1-0,4
IfStatement-37-0-0,4
VariableDeclarationStatement-9-0-1,4
VariableDeclarationStatement-6-4-1,4
ExpressionStatement-28-0-0,4
VariableDeclarationStatement-6-4-2,4
ExpressionStatement-11-5-0,4
VariableDeclarationStatement-5-1-4,4
CatchClause-16-0-0,4
MethodDeclaration-5-7-0,4
CatchClause-8-0-0,4
SwitchCase-5-0-0,4
TypeDeclaration-6-2-0,4
MethodDeclaration-15-3-0,4
ReturnStatement-3-0-2,4
ReturnStatement-13-0-0,4
SynchronizedStatement-3-5-0,4
EnhancedForStatement-4-1-0,4
EnhancedForStatement-3-0-0,4
SynchronizedStatement-5-0-0,4
WhileStatement-3-0-0,4
IfStatement-7-26-0,4
IfStatement-53-0-0,4
ConstructorInvocation-13-0-0,3
FieldDeclaration-14-1-0,3
EnumDeclaration-9-0-0,3
ExpressionStatement-2-0-15,3
ExpressionStatement-2-0-17,3
MethodDeclaration-20-1-0,3
MethodDeclaration-9-13-0,3
MethodDeclaration-16-2-0,3
ExpressionStatement-3-0-2,3
MethodDeclaration-46-0-0,3
ExpressionStatement-3-0-4,3
MethodDeclaration-22-2-0,3
ExpressionStatement-9-4-1,3
ExpressionStatement-16-3-0,3
ExpressionStatement-19-1-0,3
EnhancedForStatement-10-0-0,3
IfStatement-20-0-0,3
ReturnStatement-15-0-0,3
IfStatement-5-4-1,3
VariableDeclarationStatement-5-1-6,3
IfStatement-15-11-0,3
ReturnStatement-4-0-3,3
FieldDeclaration-4-0-2,3
IfStatement-46-0-0,3
TryStatement-3-0-0,3
CatchClause-20-0-0,3
FieldDeclaration-10-16-0,3
CatchClause-9-1-0,3
SynchronizedStatement-2-1-0,3
AssertStatement-3-0-0,3
IfStatement-29-1-0,3
CatchClause-7-0-0,3
IfStatement-9-13-0,3
ThrowStatement-8-0-0,3
CatchClause-6-1-1,3
