cluster,memberCount
ExpressionStatement-1-0,1203
IfStatement-1-0,641
ExpressionStatement-4-0,576
ExpressionStatement-3-0,569
VariableDeclarationStatement-1-0,551
ExpressionStatement-2-0,523
ExpressionStatement-5-0,479
ReturnStatement-1-0,346
ExpressionStatement-4-1,343
MethodDeclaration-1-0,330
VariableDeclarationStatement-7-0,325
ReturnStatement-2-0,290
FieldDeclaration-2-0,265
ExpressionStatement-4-2,222
VariableDeclarationStatement-5-1,218
FieldDeclaration-5-0,214
MethodDeclaration-2-0,210
FieldDeclaration-6-0,208
ExpressionStatement-5-8,203
VariableDeclarationStatement-5-4,201
VariableDeclarationStatement-3-0,201
VariableDeclarationStatement-5-2,197
FieldDeclaration-8-0,180
VariableDeclarationStatement-4-2,170
ExpressionStatement-5-2,164
VariableDeclarationStatement-5-5,147
VariableDeclarationStatement-4-0,146
BreakStatement-1-0,138
VariableDeclarationStatement-2-0,136
VariableDeclarationStatement-2-1,127
ReturnStatement-2-1,125
FieldDeclaration-1-0,119
ExpressionStatement-3-1,118
ExpressionStatement-5-1,117
ReturnStatement-3-0,117
SwitchCase-2-0,115
VariableDeclarationStatement-3-1,112
FieldDeclaration-3-0,108
ExpressionStatement-5-4,107
ExpressionStatement-5-6,105
VariableDeclarationStatement-8-3,104
VariableDeclarationStatement-5-11,103
ReturnStatement-2-3,97
IfStatement-6-0,92
ReturnStatement-2-2,89
ExpressionStatement-4-5,89
IfStatement-6-3,89
ExpressionStatement-7-0,88
ExpressionStatement-6-0,86
TypeDeclaration-2-1,84
VariableDeclarationStatement-5-3,83
ReturnStatement-4-2,83
ExpressionStatement-7-2,83
ExpressionStatement-5-7,82
ExpressionStatement-5-3,80
FieldDeclaration-6-2,80
ExpressionStatement-6-5,79
IfStatement-5-0,78
VariableDeclarationStatement-7-1,76
FieldDeclaration-8-2,76
ExpressionStatement-7-1,75
MethodDeclaration-2-1,75
ExpressionStatement-5-9,75
VariableDeclarationStatement-7-2,75
TypeDeclaration-5-0,74
FieldDeclaration-6-1,73
ExpressionStatement-4-3,73
ExpressionStatement-7-4,73
IfStatement-6-2,73
FieldDeclaration-5-1,72
MethodDeclaration-2-2,71
ExpressionStatement-7-8,70
MethodDeclaration-6-0,69
ExpressionStatement-5-10,68
MethodDeclaration-4-1,66
FieldDeclaration-3-1,65
ExpressionStatement-4-9,64
ExpressionStatement-4-8,62
TypeDeclaration-4-0,60
