cluster,memberCount
VariableDeclarationStatement-3-1-1-0,59
FieldDeclaration-2-0-0-1,45
FieldDeclaration-2-0-0-0,28
ExpressionStatement-3-0-0-4,11
ExpressionStatement-3-0-0-0,10
FieldDeclaration-2-0-0-3,10
TypeDeclaration-2-1-0-0,9
CatchClause-3-0-0-0,8
FieldDeclaration-2-0-0-2,8
MethodDeclaration-3-1-1-0,6
FieldDeclaration-2-0-0-4,5
ThrowStatement-5-0-0-0,5
FieldDeclaration-7-6-0-0,5
CatchClause-3-0-0-4,4
FieldDeclaration-5-0-0-1,4
ExpressionStatement-3-0-0-11,4
ExpressionStatement-3-0-0-3,4
ReturnStatement-2-0-4-2,4
ExpressionStatement-3-0-0-26,3
FieldDeclaration-6-0-0-6,3
ThrowStatement-4-1-0-0,3
ExpressionStatement-3-0-0-22,3
ExpressionStatement-4-0-3-2,3
ExpressionStatement-4-0-3-3,3
MethodDeclaration-2-1-0-0,3
FieldDeclaration-6-0-0-1,3
ExpressionStatement-3-0-0-39,3
FieldDeclaration-8-2-0-0,3
VariableDeclarationStatement-4-0-0-10,3
FieldDeclaration-2-0-0-5,3
ReturnStatement-2-0-4-3,3
TypeDeclaration-2-1-0-1,3
FieldDeclaration-3-0-0-1,2
FieldDeclaration-5-0-0-4,2
FieldDeclaration-5-0-0-0,2
ExpressionStatement-2-0-3-0,2
ExpressionStatement-2-0-3-2,2
ExpressionStatement-5-0-2-2,2
ThrowStatement-4-1-0-2,2
ExpressionStatement-3-0-0-24,2
FieldDeclaration-6-0-0-10,2
ThrowStatement-2-0-3-1,2
FieldDeclaration-6-0-0-5,2
FieldDeclaration-11-1-0-0,2
FieldDeclaration-6-0-0-3,2
FieldDeclaration-6-0-0-4,2
FieldDeclaration-7-6-0-2,2
FieldDeclaration-6-0-0-9,2
FieldDeclaration-6-0-0-11,2
VariableDeclarationStatement-4-0-0-11,2
ExpressionStatement-3-0-0-45,2
ExpressionStatement-3-0-0-41,2
TypeDeclaration-2-1-0-3,2
IfStatement-7-2-0-0,2
IfStatement-32-0-0-0,2
ReturnStatement-2-0-4-0,2
ReturnStatement-15-0-0-0,2
TypeDeclaration-5-0-0-1,2
TypeDeclaration-2-1-0-2,2
SwitchCase-4-0-0-2,2
ExpressionStatement-3-0-0-30,2
CatchClause-3-0-0-5,2
CatchClause-3-0-0-9,2
VariableDeclarationStatement-13-0-0-0,2
VariableDeclarationStatement-4-0-0-14,2
VariableDeclarationStatement-4-0-0-13,2
VariableDeclarationStatement-4-0-0-3,2
IfStatement-6-0-0-0,2
WhileStatement-12-0-0-0,2
MethodDeclaration-42-0-0-0,2
ExpressionStatement-26-0-0-0,2
ExpressionStatement-4-0-3-7,2
ExpressionStatement-4-0-3-19,2
ExpressionStatement-4-0-3-8,2
ExpressionStatement-4-0-3-14,2
ExpressionStatement-3-0-0-51,2
ExpressionStatement-3-0-0-33,2
ExpressionStatement-3-0-0-29,2
ExpressionStatement-3-0-0-16,2
VariableDeclarationStatement-4-0-0-7,2
ExpressionStatement-3-0-0-28,2
ExpressionStatement-3-0-0-19,2
ExpressionStatement-3-0-0-44,2
ExpressionStatement-3-0-0-31,2
FieldDeclaration-5-0-0-3,2
